name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Lamb's lettuce, torn, sauteed",39.41,1.55,0,0.69,2.27,3.92,44.3,0,0.11,4.38,66.77,95.25,397.84,71.71,3.25,0.15,0.04,0.35,56.85,0.5031,0.237,0,2.187,0.7771,16.63,0.661,Healthy
"Wild rice, dry, cooked",144.29,1.25,0,2.21,5.05,9.09,2.7,0,0.53,22.01,0.86,35.88,205.61,93.32,2.17,0.37,0.68,2.53,251.63,0.0003,0.1654,0,0.94,0.0012,26.05,2.092,Healthy
"Granola bar chocolate, single serve, sugar frosted",417.44,38.86,36.38,10.8,1.28,5.54,348.09,2.3,1.27,74.52,8.75,98.15,133.78,38.92,12.64,0.28,3.01,1.61,94.44,0.2165,0.8417,0.004102,2.571,0.0032,5.58,9.671,Unhealthy
"Pepperoni, patty, ready to eat",373.75,0.48,0.1,34.67,0,13.99,1369.63,108.63,11.75,1.44,4.25,35.66,274.83,22.81,2.36,1.44,13.05,1.8,116.98,0.0099,0.2829,0.00123,0.253,0.0002,44.53,4.468,Unhealthy
"Raspberry, whole, dried unsweetened",42.85,5.63,0,0.45,1.54,1.36,1.73,0,0.03,8.34,18.39,36.69,347.53,16.45,0.31,0.01,0.03,0.07,23.55,0.0237,0.0935,0,0.987,0.009,5.27,0.412,Healthy
"Corn dog, regular, deep fried",296.08,5.09,2.98,11.6,1.84,19.82,760.74,47.81,4.96,28.1,1.93,148.93,290.08,26.59,1.99,0.43,3.75,2.63,151.45,0.0155,0.0923,0.00115,0.531,0.0064,44.47,5.253,Unhealthy
"Marshmallow, miniature, nut filled",450.19,46.87,42.12,10.75,2.68,6.82,130.91,17.54,3.46,81.54,1.5,32.18,65.48,47.86,1.18,0.52,3.61,0.41,94.44,0.0014,0.035,7.00E-06,0.807,0.0014,14.15,0.813,Unhealthy
"Sea bass, tail, baked",159.16,0,0,8.84,0,19.52,81.88,53.02,1.28,0.38,1.11,9.43,239.25,33.43,0.41,2.64,3.5,0.58,248.04,0.0488,0.5626,0.0089,0.491,0.0002,49.29,9.157,Healthy
"Muffin chocolate chip, topped, with sprinkles",464.69,32.95,28.22,24.93,0.71,6.34,264.12,34.99,10.79,53.74,0.71,68.21,139.08,13.42,1.77,1.05,8.01,0.71,105.69,0.029,0.0677,0.000231,2.368,0.0049,34.41,2.019,Unhealthy
"Chicken sandwich fried, deluxe, fried",261.5,9.1,8.13,10.34,1.24,11.57,930.23,31.24,4.06,30.54,4.49,96.09,107.73,21.72,2.71,0.97,3.58,1.99,194.08,0.0315,0.0841,0.001143,0.29,0.004,27.68,3.738,Unhealthy
"Quesadilla cheese, supreme, deep fried",297.33,3.9,2.41,17.61,1.83,17.45,860.75,42.84,7.15,17.26,4.19,106.87,103.25,15.28,1.67,1.48,4.04,2.01,211.5,0.0448,0.0698,0.000692,1.772,0.0042,43.64,5.223,Unhealthy
"Danish pastry, large, with glaze",486.72,37.9,35.28,21.88,1.84,4.96,447.48,76.25,8.49,67.49,0.09,37.13,71.67,12.05,1.12,0.68,8.56,0.95,59.64,0.0445,0.087,0.000169,0.807,0.0052,33.93,2.045,Unhealthy
